CODE;PRODUCTO;TIPO_CARROCERIA;COMBUSTIBLE;Potencia_;TRANS;FORMA_PAGO;ESTADO_CIVIL;GENERO;OcupaciOn;PROVINCIA;Campanna1;Campanna2;Campanna3;Zona _Renta;REV_Garantia;Averia_grave;QUEJA_CAC;COSTE_VENTA;km_anno;Revisiones;Edad Cliente
CLIN6813;D;TIPO1;FUEL 1;Media;M;Contado;SOLTERO;M;Empresa;Toledo;SI;NO;NO;Medio-Bajo;SI;No;NO;0;10554;9;39
CLIN6814;D;TIPO1;FUEL 1;Media;A;Contado;CASADO;M;Empresa;Murcia;NO;NO;NO;Medio-Bajo;NO DATA;No;NO;0;15268;9;39
CLIN6815;D;TIPO1;FUEL 1;Media;A;Contado;CASADO;M;Empresa;Zamora;NO;NO;NO;Alto;NO DATA;No;NO;0;10128;5;41
CLIN6816;D;TIPO1;FUEL 1;Media;A;Contado;CASADO;M;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;No;NO;0;6932;7;44
CLIN6817;D;TIPO1;FUEL 1;Media;A;Contado;CASADO;M;Empresa;Pontevedra;NO;SI;NO;Otros;NO DATA;Averia muy grave;SI;1641;6577;6;44
CLIN6818;D;TIPO1;FUEL 1;Media;A;Contado;CASADO;M;Empresa;Madrid;SI;NO;NO;Medio;NO DATA;No;NO;1641;22666;4;44
CLIN6819;D;TIPO1;FUEL 1;Media;A;Contado;CASADO;M;Empresa;Gerona;SI;NO;NO;Alto;NO DATA;Averia muy grave;SI;1641;13217;8;53
CLIN6820;D;TIPO1;FUEL 1;Media;A;Contado;EN PAREJA;F;Empresa;Madrid;NO;NO;NO;Alto;NO DATA;Averia grave;NO;3425;14648;3;53
CLIN6821;D;TIPO1;FUEL 1;Alta;M;Contado;CASADO;M;Empresa;Vizcaya;NO;NO;NO;Medio;NO DATA;Averia muy grave;SI;0;10407;9;52
CLIN6822;D;TIPO1;FUEL 1;Alta;M;Financiera Banco;CASADO;F;Funcionario;Valencia;NO;NO;NO;Alto;SI;No;NO;3394;15437;5;37
CLIN6823;D;TIPO1;FUEL 1;Alta;M;Contado;CASADO;M;Empresa;Valladolid;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;0;10988;10;52
CLIN6824;D;TIPO1;FUEL 1;Alta;M;Contado;SOLTERO;F;Empresa;Guipuzcua;SI;NO;NO;NA;NO DATA;Averia leve;SI;0;15197;9;49
CLIN6825;D;TIPO8;FUEL 2;Alta;M;Contado;CASADO;F;Empresa;Valladolid;SI;NO;NO;NA;NO DATA;Averia muy grave;SI;3798;21102;7;44
