CODE,PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia_,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,PROVINCIA,Campanna1,Campanna2,Campanna3,Zona _Renta,REV_Garantia,Averia_grave,QUEJA_CAC,EDAD_COCHE,COSTE_VENTA,km_anno,Mas_1_coche,Edad Cliente
53605,0,0,0,1,1,0,0,0,1,2,1,0,0,2,0,0,0,2.12,2594,0,0,23
53716,0,0,0,1,1,0,0,1,1,12,0,0,0,2,0,3,0,1.98,1590,0,0,29
53827,0,0,0,1,1,0,0,0,1,32,0,0,0,0,0,3,0,2.41,2594,0,1,31
53938,0,0,0,1,1,0,0,0,1,7,0,0,0,2,0,3,0,2.35,2594,0,0,26
54049,0,0,0,1,1,0,4,1,1,8,0,0,0,0,0,3,0,2.29,2594,0,1,30
54160,0,0,0,1,1,0,4,1,1,32,1,0,0,0,0,3,0,2.3,4720,0,1,29
54271,0,0,0,1,1,2,0,1,1,2,1,0,0,2,0,3,0,2.17,3233,0,0,32
54382,0,0,0,1,1,0,4,0,1,28,0,0,0,1,0,3,0,2.09,3036,0,0,31
54493,0,0,0,1,1,2,4,0,1,32,1,0,0,2,1,0,0,2.33,5677,4186,1,58
54604,0,0,0,1,1,0,0,0,2,29,0,0,0,0,1,3,0,2.45,2594,6207,0,60
54716,0,0,0,1,1,2,0,0,1,37,1,0,0,0,0,2,1,2.37,3233,0,1,26
54827,0,0,0,1,1,3,0,0,1,36,1,0,0,2,0,2,1,2.35,4720,0,1,22
54938,0,0,0,1,1,3,0,0,1,19,1,0,0,3,1,0,0,2.45,4720,6124,1,37
55049,0,0,0,1,1,2,0,1,1,32,1,0,0,0,0,1,0,2.12,2777,0,1,22
55160,0,0,0,1,1,2,0,0,1,19,1,0,0,3,1,3,0,2.43,3850,6580,1,18
55271,0,0,0,1,1,3,0,0,1,33,0,0,0,2,1,0,1,2.47,1376,9646,0,50
55382,0,0,0,1,1,3,0,0,2,25,1,0,0,2,1,2,1,2.29,1376,4923,0,29
55493,0,0,0,1,1,3,3,0,1,22,0,0,0,3,1,2,1,2.46,2594,9150,0,46
